File Directory,Category,Description,Shape,BGColour,BDColour,Text,Symbol1,Symbol2,DGNo,JPG
bus-and-cycle-signs,Bus and cycle signs,Cycles crossing ahead,Rectangular,White,Grey/Black,Cycle,None,None,950.1,950.1VCC.jpg
bus-and-cycle-signs,Bus and cycle signs,"Cyclists to dismount at the end if, or at a break in, a cycle lane, track or route",Rectangular,Blue,White,Cycle,None,None,966,966.jpg
bus-and-cycle-signs,Bus and cycle signs,Riding of pedal cycles prohibited,Circular,White,Red,None,Cycle/Motorcycle,None,951,951.jpg
bus-and-cycle-signs,Bus and cycle signs,No through road for vehicular traffic,Rectangular,Blue,White,None,Other,None,816,816.jpg
bus-and-cycle-signs,Bus and cycle signs,Parking place for pedal cycles,Rectangular,White,Grey/Black,None,Parking [P],Cycle/Motorcycle,968.1,968.1.jpg
bus-and-cycle-signs,Bus and cycle signs,Route for use by pedal cycles only,Circular,Blue,White,None,Cycle/Motorcycle,None,955,955.jpg
bus-and-cycle-signs,Bus and cycle signs,Route comprising a separated track and path for cycles and pedestrians,Circular,Blue,White,None,Cycle/Motorcycle,Pedestrian,957,957.jpg
bus-and-cycle-signs,Bus and cycle signs,Route for use by pedal cycles and pedestrians only,Circular,Blue,White,None,Cycle/Motorcycle,Pedestrian,956,956.jpg
bus-and-cycle-signs,Bus and cycle signs,Route comprising a separated track and path for cycles and pedestrians,Circular,Blue,White,None,Cycle/Motorcycle,Pedestrian,957,957R.jpg
bus-and-cycle-signs,Bus and cycle signs,Parking place for pedal cycles,Rectangular,White,Grey/Black,None,Parking [P],Cycle/Motorcycle,968,968.jpg
direction-and-tourist-signs,Direction and tourist signs,100 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,823,825V.jpg
direction-and-tourist-signs,Direction and tourist signs,100 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,823,825VR.jpg
direction-and-tourist-signs,Direction and tourist signs,200 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,824,824V.jpg
direction-and-tourist-signs,Direction and tourist signs,200 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,824,824VR.jpg
direction-and-tourist-signs,Direction and tourist signs,300 yards to a roundabout or the next point at which traffic may leave a primary route,Rectangular,Blue,White,None,Other,Other,825,823V.jpg
direction-and-tourist-signs,Direction and tourist signs,300 yards to a roundabout or the next point at which traffic may leave a non-primary route,Rectangular,Blue,White,None,Other,Other,825,823VR.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: beach,Rectangle,Brown,Brown,None,Other,Other,0,T118.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: bird garden,Rectangle,Brown,Brown,None,Other,Other,0,T113.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: castle of historic or architectural interest,Rectangle,Brown,Brown,None,Other,Other,0,T2.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: country park,Rectangle,Brown,Brown,None,Other,Other,0,T112.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England only: property in the care of English heritage,Rectangle,Brown,Brown,None,Other,Other,0,T202.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: farm park,Rectangle,Brown,Brown,None,Other,Other,0,T119.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to tourist attraction indicated by a symbol,Rectangular,Brown,White,None,Vehicle (Car/Tram/Truck),Arrow,2208,2208.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: House of historic or architectural importance,Rectangle,Brown,Brown,None,Other,Other,0,T3.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction and distance to a tourist attraction,Rectangular,Brown,White,Number (Distance),Arrow,None,2203,2203.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England only : museum or art gallery,Rectangle,Brown,Brown,None,Other,Other,0,T203.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: national Trust property,Rectangle,Brown,Brown,None,Other,Other,0,T101.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: nature reserve,Rectangle,Brown,Brown,None,Other,Other,0,T115.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: site with Roman remains,Rectangle,Brown,Brown,None,Other,Other,0,T127.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: safari park,Rectangle,Brown,Brown,None,Other,Other,0,T153.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: peasure or theme park,Rectangle,Brown,Brown,None,Other,Other,0,T114.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: tourist Information Point or Centre,Rectangle,Brown,Brown,None,Other,Other,0,T1.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a tourist attraction,Rectangular,Brown,White,Number (Distance),Animal,Arrow,2202,2202.jpg
direction-and-tourist-signs,Direction and tourist signs,Historic castle tourist attraction 10 miles ahead,Rectangular,Brown,White,Number (Distance),Other,None,2209,2209.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist attraction ahead is closed,Rectangular,Brown,White,Number (Distance),Other,None,2209,2209V.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: cricket ground,Rectangle,Brown,Brown,None,Other,Other,0,T137.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: cycle hire,Rectangle,Brown,Brown,None,Other,Other,0,T142.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England only: Tourist attraction recognised by a regional tourist board or the English Tourist Board,Rectangle,Brown,Brown,None,Other,Other,0,T201.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: fishing,Rectangle,Brown,Brown,None,Other,Other,0,T140.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: football ground,Rectangle,Brown,Brown,None,Other,Other,0,T138.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: golf course,Rectangle,Brown,Brown,None,Other,Other,0,T134.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: motor sport,Rectangle,Brown,Brown,None,Other,Other,0,T136.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: race course,Rectangle,Brown,Brown,None,Other,Other,0,T135.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for Scotland only: tourist attraction recognised by 'VisitScotland',Rectangle,Brown,Brown,None,Other,Other,0,T301.1.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: ski slope,Rectangle,Brown,Brown,None,Other,Other,0,T148.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England only: sports centre,Rectangle,Brown,Brown,None,Other,Other,0,T204.jpg
direction-and-tourist-signs,Direction and tourist signs,Steam railway tourist attraction 100 yards ahead,Rectangular,Brown,White,Number (Distance),Vehicle (Car/Tram/Truck),None,2201,2201.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for England and Wales: ten pin bowling,Rectangle,Brown,Brown,None,Other,Other,0,T149.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction along a route passing through places of interest recognised by a regional tourist board or the English tourist board,Rectangular,Brown,White,Other,Arrow,Rose (Tourist Attraction),2212,2212.jpg
direction-and-tourist-signs,Direction and tourist signs,Tourist symbol for Wales only: Tourist attraction recognised by the Welsh tourist board,Rectangle,Brown,Brown,None,Other,Other,0,T401.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to services with details of the services provided,Rectangular,White,Grey/Black,Other,Arrow,Other,2313.2,2313.2.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction and distance to a Tourist Information point or centre,Rectangular,Brown,White,Number (Distance),Arrow,None,2204,2204.jpg
direction-and-tourist-signs,Direction and tourist signs,"Distance ahead to services, with details of the services provided",Rectangular,White,Grey/Black,Number (Distance),Other,Other,2313.1,2313.1.jpg
direction-and-tourist-signs,Direction and tourist signs,Location of a Tourist information point or centre,Rectangular,Brown,White,Other,Other,None,2205,2205.jpg
direction-and-tourist-signs,Direction and tourist signs,Entrance or junction ahead to services,Rectangular,White,Grey/Black,Other,Arrow,None,2314.2,2314.2.jpg
direction-and-tourist-signs,Direction and tourist signs,Entrance or direction to services,Rectangular,White,Grey/Black,Other,Arrow,None,2314.1,2314.1.jpg
direction-and-tourist-signs,Direction and tourist signs,Camping and caravan site 300 yards ahead,Rectangular,Brown,White,Number (Distance),Vehicle (Car/Tram/Truck),None,2301,2301.jpg
direction-and-tourist-signs,Direction and tourist signs,Camping and caravan site 300 yards in the direction indicated,Rectangular,Brown,White,Number (Distance),Vehicle (Car/Tram/Truck),Arrow,2302,2302.jpg
direction-and-tourist-signs,Direction and tourist signs,"Distance ahead to parking place with a Tourist Information Point, picnic site, public telephone, public toilets and viewpoint",Rectangular,Brown,White,Number (Distance),Parking [P],Other,2307,2307.jpg
direction-and-tourist-signs,Direction and tourist signs,Directions to different types of parking place from a junction ahead,Rectangular,White,Grey/Black,Other,Arrow,Parking [P],2505,2505.jpg
direction-and-tourist-signs,Direction and tourist signs,Picnic area 150 yards ahead,Rectangular,Brown,White,Number (Distance),Pedestrian,Other,2305,2305.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction and distance to picnic area,Rectangular,Brown,White,Number (Distance),Other,Pedestrian,2306,2306.jpg
direction-and-tourist-signs,Direction and tourist signs,Managed youth hostel 1 mile ahead,Rectangular,Brown,White,Number (Distance),Other,None,2303,2303.jpg
direction-and-tourist-signs,Direction and tourist signs,Youth hostel 200 yards in the direction indicated,Rectangular,Brown,White,Number (Distance),Arrow,Other,2304,2304.jpg
direction-and-tourist-signs,Direction and tourist signs,Distance to a commercial vehicles parking place ahead with public toilets and telephones,Rectangular,White,Grey/Black,Number (Distance),Parking [P],Other,2502,2502.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a lorry park via a U-turn at a roundabout ahead,Rectangular,White,Grey/Black,None,Parking [P],Vehicle (Car/Tram/Truck),2510,2510.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction and distance to a multi-storey parking place,Rectangular,White,Grey/Black,Number (Distance),Parking [P],Arrow,2508,2508.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a parking place available only on the day specified,Rectangular,White,Grey/Black,Other,Parking [P],Arrow,2507,2507.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a parking place for shoppers and showing the total number of spaces,Rectangular,White,Grey/Black,Other,Arrow,Parking [P],2506,2506.jpg
direction-and-tourist-signs,Direction and tourist signs,General directions to different types of parking place,Rectangular,White,Grey/Black,Other,Parking [P],Arrow,2505.1,2505.1.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a destination advised for goods vehicles,Rectangular,Grey/Black,White,Other,Vehicle (Car/Tram/Truck),Arrow,2805,2805.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to route advised for goods vehicles,Rectangular,Grey/Black,White,Other,Vehicle (Car/Tram/Truck),Arrow,2805,2805V.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to destination shown of route advised for goods vehicles,Rectangular,Grey/Black,White,Other,Arrow,Vehicle (Car/Tram/Truck),2806,2806.jpg
direction-and-tourist-signs,Direction and tourist signs,Distance and direction to a parking place ahead from which a 'Park and Ride' scheme operates,Rectangular,White,Grey/Black,Number (Distance),Parking [P],Vehicle (Car/Tram/Truck),2503,2503.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a parking place from which a 'Park and Ride' scheme operates,Rectangular,White,Grey/Black,Other,Parking [P],Vehicle (Car/Tram/Truck),2504,2504R.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a parking place from which a 'Park and Ride' scheme operates,Rectangular,White,Grey/Black,Other,Parking [P],Vehicle (Car/Tram/Truck),2504,2504T.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a parking place from which a 'Park and Ride' scheme operates,Rectangular,White,Grey/Black,Other,Parking [P],Vehicle (Car/Tram/Truck),2504,2504P.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction of temporary diversion route from junction ahead,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2703,2703V.jpg
direction-and-tourist-signs,Direction and tourist signs,Diversion route symbol: circular,Rectangle,Yellow,Grey.black,None,other,None,0,S56K.jpg
direction-and-tourist-signs,Direction and tourist signs,Diversion route symbol: square,Rectangle,Yellow,Grey.black,None,other,None,0,S56C.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction of temporary diversion route,Rectangle,Yellow,Grey.black,None,other,None,0,2704V.jpg
direction-and-tourist-signs,Direction and tourist signs,Diversion route symbol: Triangular,Rectangle,Yellow,Grey.black,None,other,None,0,S56G.jpg
direction-and-tourist-signs,Direction and tourist signs,Start of temporary diversion route to the left,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2702,2702L.jpg
direction-and-tourist-signs,Direction and tourist signs,Start of temporary diversion route to the right,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2702,2702.jpg
direction-and-tourist-signs,Direction and tourist signs,End of temporary diversion route,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2702,2702V.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction of temporary diversion route from junction ahead,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2703,2703.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction of temporary diversion route,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2704,2704.jpg
direction-and-tourist-signs,Direction and tourist signs,"Junction ahead leading to a temporary diversion route, follow symbolic route",Rectangular,Yellow,Grey/Black,Other,Arrow,Other,2716,2716.jpg
direction-and-tourist-signs,Direction and tourist signs,Roundabout ahead leading to a temporary diversion route to the destination shown,Rectangular,Yellow,Grey/Black,Other,Arrow,None,2706,2706.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead of a primary route with non-primary route through a town or village that has been by-passed,Rectangular,Green,White,Number (Route),Arrow,None,2025,2025.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a car ferry,Rectangular,White,Grey/Black,None,Arrow,Vehicle (Car/Tram/Truck),2135,2135.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a vehicle ferry,Rectangular,White,Grey/Black,None,Arrow,Vehicle (Car/Tram/Truck),2136,2136.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to public toilets with facilities for disabled people,Rectangular,White,Grey/Black,None,Arrow,Other,2323,2323.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to Vehicle and Operator Services Agency testing station for goods vehicles,Rectangular,White,Grey/Black,Other,Arrow,Other,2802,2802.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a London underground railway station,Rectangular,White,Grey/Black,Other,Arrow,TFL Tube / Rail,2133,2133.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a public telephone,Rectangular,White,Grey/Black,Other,Arrow,Other,2322,2322.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a public telephone,Rectangular,White,Grey/Black,Other,Arrow,Other,2322,2322R.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a shopping area which provides a shopmobility service for disabled people,Rectangular,White,Grey/Black,None,Arrow,Other,2137,2137.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction ahead leading to a route for emergency vehicles to an emergency services incident point,Rectangular,Green,Yellow,Other,Arrow,None,2710,2710.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a route for emergency vehicles to a temporary incident control point,Rectangular,Red,White,Other,Arrow,None,2708,2708.jpg
direction-and-tourist-signs,Direction and tourist signs,Junction ahead leading to a route for emergency vehicles to a temporary incident control point,Rectangular,Red,White,Other,Arrow,None,2708,2708R.jpg
direction-and-tourist-signs,Direction and tourist signs,Additional traffic lane joining from the left ahead (non-primary routes),Rectangular,white,White,None,Arrow,None,874,868N.jpg
direction-and-tourist-signs,Direction and tourist signs,Additional traffic lane joining from the left in 200 yards. Traffic on main carriageway had priority over joining traffic from the right hand lane of the slip road (primary routes),Rectangular,Blue,White,None,Arrow,None,873,873+876P.jpg
direction-and-tourist-signs,Direction and tourist signs,Direction to a new housing development,Rectangular,Yellow,Grey/Black,Other,Arrow,Other,2701,2701.jpg
direction-and-tourist-signs,Direction and tourist signs,Additional traffic joining from the left ahead (non-primary route),Rectangular,white,White,None,Arrow,None,874,868.1N.jpg
direction-and-tourist-signs,Direction and tourist signs,Additional traffic lanes joining from the right ahead. Traffic in the right hand lane joins the main carriageway. Traffic on the main carriageway has priority over joining traffic (primary route),Rectangular,white,White,None,Arrow,None,874,874P.jpg
information-signs,Information signs,Distance of 2 miles to a section of dual carriageway ahead,Rectangular,Blue,White,Number (Distance),None,None,818.1,818.1.jpg
information-signs,Information signs,Section of dual carriageway road begins ahead,Rectangular,Blue,White,Other,None,None,818,818.jpg
information-signs,Information signs,Distance of 1/2 mile of dual carriageway road extends ahead,Rectangular,Blue,White,Number (Distance),None,None,818.11,818.1A.jpg
information-signs,Information signs,No through road for vehicular traffic in direction indicated from junction ahead,Rectangular,Blue,White,None,Other,None,817,817.jpg
information-signs,Information signs,No through road for vehicular traffic in direction indicated from junction ahead,Rectangular,Blue,White,None,Other,None,817,817V.jpg
information-signs,Information signs,Number of lanes of traffic lanes ahead on a dual carriageway reduces from three lanes to two. Traffic in the right hand lane must move into the lane on the immediate left,Rectangular,White,Grey/Black,None,Arrow,None,872.1,872.1.jpg
information-signs,Information signs,Passing place on a narrow road,Rectangular,White,Grey/Black,Other,None,None,822,822.jpg
information-signs,Information signs,Number of lanes of traffic lanes ahead on a primary route reduces from three lanes to two. Traffic in the right hand lane must move into the lane on the immediate left,Rectangular,White,Grey/Black,None,Arrow,None,872.1,872.1P.jpg
information-signs,Information signs,"Route ahead only wide enough for one line of vehicles, but has passing places at intervals",Rectangular,Blue,White,Other,None,None,821,821.jpg
information-signs,Information signs,Road unsuitable for articulated vehicles,Rectangular,Blue,White,Vehicle,None,None,820,820V5.jpg
information-signs,Information signs,Road unsuitable for caravans,Rectangular,Blue,White,Vehicle,None,None,820,820V1.jpg
information-signs,Information signs,Road unsuitable for heavy goods vehicles,Rectangular,Blue,White,Vehicle,None,None,820,820V2.jpg
information-signs,Information signs,Road unsuitable for long vehicles,Rectangular,Blue,White,Vehicle,None,None,820,820V4.jpg
information-signs,Information signs,Road unsuitable for motor vehicles,Rectangular,Blue,White,Vehicle,None,None,820,820.jpg
information-signs,Information signs,Road unsuitable for trailers,Rectangular,Blue,White,Vehicle,None,None,820,820V6.jpg
information-signs,Information signs,Road unsuitable for wide vehicles,Rectangular,Blue,White,Vehicle,None,None,820,820V3.jpg
information-signs,Information signs,Distance to a parking place ahead,Rectangular,Blue,White,Number (Distance),Parking [P],Other,2501,2501.jpg
information-signs,Information signs,Emergency telephone in a parking place,Rectangular,Blue,White,Number (Distance),Parking [P],Other,2713.1,2713.1VP.jpg
information-signs,Information signs,Distance ahead to emergency telephone in a parking place,Rectangular,Blue,White,Number (Distance),Parking [P],Other,2713.1,2713.1.jpg
information-signs,Information signs,Emergency telephone ahead,Rectangular,Blue,White,Number (Distance),Parking [P],Other,2713.1,2713.1V.jpg
information-signs,Information signs,Emergency telephone 1 mile ahead,Rectangular,Blue,White,Number (Distance),Parking [P],Other,2713.1,2713.1VT.jpg
information-signs,Information signs,Direction to emergency exit for pedestrians from a tunnel,Rectangular,Green,Yellow,None,Pedestrian,Arrow,2711,2711.jpg
information-signs,Information signs,Direction to emergency exit for pedestrians from a tunnel,Rectangular,Green,Yellow,None,Pedestrian,Arrow,2711,2711L.jpg
information-signs,Information signs,Hospital ahead with accident and emergency facilities,Rectangular,Red,White,Number (Other),Other,None,827.2,827.2.jpg
information-signs,Information signs,Hospital ahead without accident and emergency facilities,Rectangular,Blue,White,Other,Other,None,827.1,827.1.jpg
information-signs,Information signs,One-way traffic in direction indicated (sign for pedestrians),Rectangular,Blue,White,Other,Arrow,None,810,810L.jpg
information-signs,Information signs,One-way traffic in direction indicated (sign for pedestrians),Rectangular,Blue,White,Other,Arrow,None,810,810.jpg
information-signs,Information signs,Ramped entrance to pedestrian overbridge,Rectangular,Blue,White,None,Pedestrian,Other,814.4,814.4.jpg
information-signs,Information signs,Ramped entrance to pedestrian subway,Rectangular,Blue,White,None,Pedestrian,Other,814.2,814.2.jpg
information-signs,Information signs,Stepped entrance to pedestrian overbridge,Rectangular,Blue,White,None,Pedestrian,Other,814.3,814.3.jpg
information-signs,Information signs,Stepped entrance to pedestrian subway,Rectangular,Blue,White,None,Pedestrian,None,814.1,814.1.jpg
information-signs,Information signs,Goods vehicles should leave the main carriageway on the approach to a vehicle check point,Rectangular,Yellow,Grey/Black,Vehicle,Arrow,None,832.8,832.8.jpg
information-signs,Information signs,Direction to a vehicle check point,Rectangular,Yellow,Grey/Black,Other,Arrow,None,832.9,832.9.jpg
information-signs,Information signs,End of vehicle check point area,Rectangular,Yellow,Grey/Black,Other,None,None,832.101,832.10A.jpg
information-signs,Information signs,Goods vehicles may be directed to enter a check point ahead,Rectangular,Yellow,Grey/Black,Other,Vehicle (Car/Tram/Truck),None,832.4,832.4.jpg
information-signs,Information signs,Goods vehicles and buses may be directed to enter a check point ahead,Rectangular,Yellow,Grey/Black,Other,Vehicle (Car/Tram/Truck),None,832.4,832.4V.jpg
information-signs,Information signs,Goods vehicles should get into the left lane to attend a goods vehicle check point ahead,Rectangular,Yellow,Grey/Black,Vehicle,Vehicle (Car/Tram/Truck),Arrow,832.6,832.6.jpg
information-signs,Information signs,Goods vehicles should get into the left hand lane of a three lane carriageway on the approach to a goods vehicle check point,Rectangular,Yellow,Grey/Black,Vehicle,Vehicle (Car/Tram/Truck),Arrow,832.7,832.7.jpg
information-signs,Information signs,Goods vehicles may be directed to stop ahead by a constable in uniform,Rectangular,Blue,White,Vehicle,None,None,830.2,830.2.jpg
information-signs,Information signs,Goods vehicles should keep to the left hand lane on approach to check point ahead,Rectangular,Yellow,Grey/Black,Other,Vehicle (Car/Tram/Truck),None,832.5,832.5.jpg
